NAME                                 	CHART VERSION	APP VERSION            	DESCRIPTION                                       
stable/elastalert                    	1.5.1        	0.2.4                  	DEPRECATED ElastAlert is a simple framework for...
stable/elastic-stack                 	2.0.1        	6                      	A Helm chart for ELK                              
stable/elasticsearch                 	1.32.5       	6.8.6                  	DEPRECATED Flexible and powerful open source, d...
stable/elasticsearch-curator         	2.1.5        	5.7.6                  	A Helm chart for Elasticsearch Curator            
stable/elasticsearch-exporter        	3.4.0        	1.1.0                  	Elasticsearch stats exporter for Prometheus       
stable/envoy                         	1.9.0        	1.11.2                 	Envoy is an open source edge and service proxy,...
stable/etcd-operator                 	0.10.3       	0.9.4                  	CoreOS etcd-operator Helm chart for Kubernetes    
stable/ethereum                      	1.0.0        	v1.7.3                 	private Ethereum network Helm chart for Kubernetes
stable/eventrouter                   	0.3.0        	0.3                    	A Helm chart for eventruter (https://github.com...
stable/express-gateway               	1.6.3        	1.16.9                 	Express Gateway is an API Gateway that sits at ...
stable/external-dns                  	2.20.4       	0.7.0                  	DEPRECATED ExternalDNS is a Kubernetes addon th...
stable/factorio                      	1.0.0        	0.15.39                	Factorio dedicated server.                        
stable/falco                         	1.1.7        	0.21.0                 	Falco                                             
stable/filebeat                      	4.0.0        	7.4.0                  	A Helm chart to collect Kubernetes logs with fi...
stable/fluent-bit                    	2.9.0        	1.3.7                  	Fast and Lightweight Log/Data Forwarder for Lin...
stable/fluentd                       	2.4.3        	v2.4.0                 	A Fluentd Elasticsearch Helm chart for Kubernetes.
stable/fluentd-elasticsearch         	2.0.7        	2.3.2                  	DEPRECATED! - A Fluentd Helm chart for Kubernet...
stable/g2                            	0.3.3        	0.5.0                  	DEPRECATED G2 by AppsCode - Gearman in Golang     
stable/gangway                       	0.4.2        	3.3.0                  	An application that can be used to easily enabl...
stable/gce-ingress                   	1.2.0        	1.4.0                  	A GCE Ingress Controller                          
stable/gcloud-endpoints              	0.1.2        	1                      	DEPRECATED Develop, deploy, protect and monitor...
stable/gcloud-sqlproxy               	0.6.1        	1.11                   	DEPRECATED Google Cloud SQL Proxy                 
stable/gcp-night-king                	1.0.2        	1                      	A Helm chart for GCP Night King                   
stable/ghost                         	9.1.13       	3.9.0                  	DEPRECATED A simple, powerful publishing platfo...
stable/gitlab-ce                     	0.2.2        	9.4.1                  	GitLab Community Edition                          
stable/gitlab-ee                     	0.2.2        	9.4.1                  	GitLab Enterprise Edition                         
stable/gocd                          	1.28.0       	20.5.0                 	GoCD is an open-source continuous delivery serv...
stable/goldpinger                    	2.0.2        	2.0.0                  	Goldpinger makes calls between its instances fo...
stable/grafana                       	5.3.5        	7.0.3                  	The leading tool for querying and visualizing t...
stable/graphite                      	0.2.2        	1.1.5-3                	DEPRECATED! - Graphite metrics server             
stable/graylog                       	1.6.9        	3.1                    	Graylog is the centralized log management solut...
stable/hackmd                        	2.0.0        	1.3.0-alpine           	Realtime collaborative markdown notes on all pl...
stable/hadoop                        	1.1.2        	2.9.0                  	The Apache Hadoop software library is a framewo...
stable/hazelcast                     	3.3.2        	4.0.1                  	DEPRECATED Hazelcast IMDG is the most widely us...
stable/hazelcast-jet                 	1.6.2        	4.1                    	DEPRECATED Hazelcast Jet is an application embe...
stable/heapster                      	1.0.2        	1.5.4                  	Heapster enables Container Cluster Monitoring a...
stable/heartbeat                     	1.2.0        	6.7.0                  	A Helm chart to periodically check the status o...
stable/helm-exporter                 	0.3.3        	0.4.0                  	DEPRECATED Exports helm release stats to promet...
stable/hl-composer                   	1.0.12       	0.20.0                 	Hyperledger Composer REST Server chart            
stable/hlf-ca                        	1.2.0        	1.4.3                  	Hyperledger Fabric Certificate Authority chart ...
stable/hlf-couchdb                   	1.0.7        	0.4.10                 	CouchDB instance for Hyperledger Fabric (these ...
stable/hlf-ord                       	1.3.0        	1.4.3                  	Hyperledger Fabric Orderer chart (these charts ...
stable/hlf-peer                      	1.4.0        	1.4.3                  	Hyperledger Fabric Peer chart (these charts are...
stable/hoard                         	1.0.0        	6.0.0                  	Hoard is a stateless, deterministically encrypt...
stable/home-assistant                	0.13.4       	0.108.7                	Home Assistant                                    
stable/horovod                       	1.0.0        	0.12.1                 	A Helm chart for deploying Horovod                
stable/hubot                         	1.0.1        	3.3.2                  	Hubot chatbot for Slack                           
stable/ignite                        	1.1.0        	2.7.6                  	Apache Ignite is an open-source distributed dat...
stable/inbucket                      	3.1.0        	2.0.0                  	Inbucket is an email testing application          
stable/influxdb                      	4.3.2        	1.7.9                  	DEPRECATED Scalable datastore for metrics, even...
stable/ingressmonitorcontroller      	1.0.48       	1.0.47                 	IngressMonitorController chart that runs on kub...
stable/instana-agent                 	1.0.28       	1.1                    	Instana Agent for Kubernetes                      
stable/ipfs                          	0.4.2        	v0.4.22                	A Helm chart for the Interplanetary File System   
stable/jaeger-operator               	2.12.2       	1.15.1                 	jaeger-operator Helm chart for Kubernetes         
stable/janusgraph                    	0.2.1        	1.0                    	Open source, scalable graph database.             
stable/jasperreports                 	7.0.11       	7.2.0                  	DEPRECATED The JasperReports server can be used...
stable/jenkins                       	2.3.0        	lts                    	Open source continuous integration server. It s...
stable/joomla                        	7.1.11       	3.9.15                 	DEPRECATED PHP content management system (CMS) ...
stable/k8s-spot-rescheduler          	0.4.4        	v0.3.0                 	A k8s-spot-rescheduler Helm chart for Kubernetes  
stable/k8s-spot-termination-handler  	1.4.9        	1.13.7-1               	The K8s Spot Termination handler handles draini...
stable/kafka-manager                 	2.3.1        	1.3.3.22               	A tool for managing Apache Kafka.                 
stable/kanister-operator             	0.3.0        	0.10.0                 	Kanister-operator Helm chart for Kubernetes       
stable/kapacitor                     	1.2.2        	1.5.2                  	DEPRECATED InfluxDB's native data processing en...
stable/karma                         	1.5.2        	v0.68                  	A Helm chart for Karma - an UI for Prometheus A...
stable/katafygio                     	1.0.1        	0.8.1                  	Continuously backup Kubernetes objets as YAML f...
stable/keel                          	0.6.1        	0.9.5                  	DEPRECATED Open source, tool for automating Kub...
stable/keycloak                      	4.10.1       	5.0.0                  	DEPRECATED - Open Source Identity and Access Ma...
stable/kiam                          	2.5.3        	3.3                    	DEPRECATED Integrate AWS IAM with Kubernetes      
stable/kibana                        	3.2.6        	6.7.0                  	Kibana is an open source data visualization plu...
stable/kong                          	0.36.7       	1.4                    	DEPRECATED The Cloud-Native Ingress and API-man...
stable/kube-hunter                   	1.0.3        	312                    	A Helm chart for Kube-hunter                      
stable/kube-lego                     	0.4.2        	v0.1.6                 	DEPRECATED Automatically requests certificates ...
stable/kube-ops-view                 	1.2.0        	20.4.0                 	Kubernetes Operational View - read-only system ...
stable/kube-slack                    	1.3.2        	v4.2.0                 	Chart for kube-slack, a monitoring service for ...
stable/kube-state-metrics            	2.8.11       	1.9.7                  	Install kube-state-metrics to generate and expo...
stable/kube2iam                      	2.5.0        	0.10.9                 	Provide IAM credentials to pods based on annota...
stable/kubed                         	0.3.3        	0.4.0                  	DEPRECATED Kubed by AppsCode - Kubernetes daemon  
stable/kubedb                        	0.1.3        	0.8.0-beta.2           	DEPRECATED KubeDB by AppsCode - Making running ...
stable/kuberhealthy                  	1.2.6        	v1.0.2                 	The official Helm chart for Kuberhealthy.         
stable/kubernetes-dashboard          	1.11.1       	1.10.1                 	DEPRECATED! - General-purpose web UI for Kubern...
stable/kuberos                       	0.2.1        	2018-07-03             	An OIDC authentication helper for Kubernetes      
stable/kubewatch                     	1.0.9        	0.0.4                  	DEPRECATED Kubewatch notifies your slack rooms ...
stable/kured                         	1.6.0        	1.4.0                  	DEPRECATED - A Helm chart for kured               
stable/lamp                          	1.1.3        	7                      	Modular and transparent LAMP stack chart suppor...
stable/linkerd                       	0.4.1        	1.1.2                  	Service mesh for cloud native apps                
stable/locust                        	1.2.1        	0.9.0                  	A modern load testing framework                   
stable/logdna-agent                  	2.0.0        	2.1.9                  	Run this, get logs. All cluster containers. Log...
stable/logstash                      	2.4.0        	7.1.1                  	Logstash is an open source, server-side data pr...
stable/luigi                         	2.7.5        	2.7.2                  	Luigi is a Python module that helps you build c...
stable/magento                       	6.0.0        	2.3.1                  	DEPRECATED A feature-rich flexible e-commerce s...
stable/magic-ip-address              	0.1.0        	0.9.0                  	A Helm chart to assign static IP addresses for ...
stable/magic-namespace               	0.6.0        	2.8.1                  	Elegantly enables a Tiller per namespace in RBA...
stable/mailhog                       	2.3.1        	1.0.0                  	DEPRECATED - An e-mail testing tool for developers
stable/mariadb                       	7.3.14       	10.3.22                	DEPRECATED Fast, reliable, scalable, and easy t...
stable/mattermost-team-edition       	3.1.2        	5.9.0                  	Mattermost Team Edition server.                   
stable/mcrouter                      	1.0.3        	0.36.0                 	Mcrouter is a memcached protocol router for sca...
stable/mediawiki                     	9.1.9        	1.34.0                 	DEPRECATED Extremely powerful, scalable softwar...
stable/memcached                     	3.2.3        	1.5.20                 	Free & open source, high-performance, distribut...
stable/mercure                       	4.0.1        	0.10.0                 	The Mercure hub allows to push data updates usi...
stable/metabase                      	0.11.0       	v0.35.3                	The easy, open source way for everyone in your ...
stable/metallb                       	0.12.0       	0.8.1                  	MetalLB is a load-balancer implementation for b...
stable/metricbeat                    	1.7.1        	6.7.0                  	A Helm chart to collect Kubernetes logs with me...
stable/metrics-server                	2.11.1       	0.3.6                  	Metrics Server is a cluster-wide aggregator of ...
stable/minecraft                     	1.2.5        	1.14.4                 	Minecraft server                                  
stable/minio                         	5.0.31       	master                 	MinIO is a high performance data infrastructure...
stable/mission-control               	0.4.3        	3.1.2                  	DEPRECATED A Helm chart for JFrog Mission Control 
stable/mongodb                       	7.8.10       	4.2.4                  	DEPRECATED NoSQL document-oriented database tha...
stable/mongodb-replicaset            	3.16.2       	3.6                    	NoSQL document-oriented database that stores JS...
stable/moodle                        	7.2.8        	3.8.2                  	DEPRECATED Moodle is a learning platform design...
stable/msoms                         	0.2.0        	1.0.0-30               	A chart for deploying omsagent as a daemonset K...
stable/mssql-linux                   	0.11.2       	14.0.3023.8            	SQL Server 2017 Linux Helm Chart                  
stable/mysql                         	1.6.6        	5.7.30                 	Fast, reliable, scalable, and easy to use open-...
stable/mysqldump                     	2.6.0        	2.4.1                  	A Helm chart to help backup MySQL databases usi...
stable/namerd                        	0.2.0        	                       	Service that manages routing for multiple linke...
stable/nats                          	4.3.7        	2.1.4                  	DEPRECATED An open-source, cloud-native messagi...
stable/neo4j                         	3.0.1        	4.0.4                  	DEPRECATED Neo4j is the world's leading graph d...
stable/newrelic-infrastructure       	0.13.34      	1.21.0                 	A Helm chart to deploy the New Relic Infrastruc...
stable/nextcloud                     	1.12.0       	17.0.0                 	A file sharing server that puts the control and...
stable/nfs-client-provisioner        	1.2.8        	3.1.0                  	nfs-client is an automatic provisioner that use...
stable/nfs-server-provisioner        	1.1.1        	2.3.0                  	nfs-server-provisioner is an out-of-tree dynami...
stable/nginx-ingress                 	1.40.3       	0.32.0                 	An nginx Ingress controller that uses ConfigMap...
stable/nginx-ldapauth-proxy          	0.1.4        	1.13.5                 	nginx proxy with ldapauth                         
stable/nginx-lego                    	0.3.1        	                       	Chart for nginx-ingress-controller and kube-lego  
stable/node-problem-detector         	1.7.6        	v0.8.1                 	Installs the node-problem-detector daemonset fo...
stable/node-red                      	1.4.3        	1.0.4                  	Node-RED is low-code programming for event-driv...
stable/oauth2-proxy                  	3.2.0        	5.1.0                  	A reverse proxy that provides authentication wi...
stable/odoo                          	13.0.5       	12.0.20200215          	DEPRECATED A suite of web based open source bus...
stable/opa                           	1.13.6       	0.15.1                 	Open source, general-purpose policy engine. Enf...
stable/opencart                      	7.0.8        	3.0.3-2                	DEPRECATED A free and open source e-commerce pl...
stable/openebs                       	1.11.1       	1.11.0                 	DEPRECATED Containerized Storage for Containers   
stable/openiban                      	1.0.0        	1.0.1                  	OpenIBAN is a self-hosted, free and open-source...
stable/openldap                      	1.2.4        	2.4.48                 	Community developed LDAP software                 
stable/openvpn                       	4.2.3        	1.1.0                  	A Helm chart to install an openvpn server insid...
stable/orangehrm                     	7.0.10       	4.3.4-0                	DEPRECATED OrangeHRM is a free HR management sy...
stable/osclass                       	7.0.10       	3.7.4                  	DEPRECATED Osclass is a php script that allows ...
stable/owncloud                      	8.1.8        	10.4.0                 	DEPRECATED A file sharing server that puts the ...
stable/pachyderm                     	0.2.1        	1.8.6                  	Pachyderm is a large-scale container-based work...
stable/parse                         	10.3.10      	3.10.0                 	DEPRECATED Parse is a platform that enables use...
stable/percona                       	1.2.1        	5.7.26                 	free, fully compatible, enhanced, open source d...
stable/percona-xtradb-cluster        	1.0.4        	5.7.19                 	free, fully compatible, enhanced, open source d...
stable/pgadmin                       	1.2.3        	4.18.0                 	DEPRECATED - moved to new repo, see source for ...
stable/phabricator                   	9.0.13       	2020.7.0               	DEPRECATED Collection of open source web applic...
stable/phpbb                         	7.0.10       	3.3.0                  	DEPRECATED Community forum that supports the no...
stable/phpmyadmin                    	4.3.5        	5.0.1                  	DEPRECATED phpMyAdmin is an mysql administratio...
stable/pomerium                      	4.2.3        	0.5.2                  	DEPRECATED - see https://helm.pomerium.io         
stable/postgresql                    	8.6.4        	11.7.0                 	DEPRECATED Chart for PostgreSQL, an object-rela...
stable/prestashop                    	9.1.11       	1.7.6-4                	DEPRECATED A popular open source ecommerce solu...
stable/presto                        	0.2.1        	329                    	Distributed SQL query engine for running intera...
stable/prisma                        	1.2.2        	1.29.1                 	Prisma turns your database into a realtime Grap...
stable/prometheus                    	11.7.0       	2.19.0                 	Prometheus is a monitoring system and time seri...
stable/prometheus-adapter            	2.4.0        	v0.6.0                 	A Helm chart for k8s prometheus adapter           
stable/prometheus-blackbox-exporter  	4.1.1        	0.16.0                 	Prometheus Blackbox Exporter                      
stable/prometheus-cloudwatch-exporter	0.8.2        	0.8.0                  	A Helm chart for prometheus cloudwatch-exporter   
stable/prometheus-consul-exporter    	0.1.4        	0.4.0                  	A Helm chart for the Prometheus Consul Exporter   
stable/prometheus-couchdb-exporter   	0.1.1        	1.0                    	A Helm chart to export the metrics from couchdb...
stable/prometheus-mongodb-exporter   	2.6.0        	v0.10.0                	A Prometheus exporter for MongoDB metrics         
stable/prometheus-mysql-exporter     	0.6.0        	v0.11.0                	A Helm chart for prometheus mysql exporter with...
stable/prometheus-nats-exporter      	2.5.0        	0.6.2                  	A Helm chart for prometheus-nats-exporter         
stable/prometheus-node-exporter      	1.11.0       	1.0.0                  	A Helm chart for prometheus node-exporter         
stable/prometheus-operator           	8.16.1       	0.38.1                 	Provides easy monitoring definitions for Kubern...
stable/prometheus-postgres-exporter  	1.3.0        	0.8.0                  	A Helm chart for prometheus postgres-exporter     
stable/prometheus-pushgateway        	1.4.1        	1.2.0                  	A Helm chart for prometheus pushgateway           
stable/prometheus-rabbitmq-exporter  	0.5.5        	v0.29.0                	Rabbitmq metrics exporter for prometheus          
stable/prometheus-redis-exporter     	3.4.1        	1.3.4                  	Prometheus exporter for Redis metrics             
stable/prometheus-snmp-exporter      	0.0.5        	0.14.0                 	Prometheus SNMP Exporter                          
stable/prometheus-to-sd              	0.3.0        	0.5.2                  	Scrape metrics stored in prometheus format and ...
stable/quassel                       	0.2.9        	0.12.4                 	Quassel IRC is a modern, cross-platform, distri...
stable/rabbitmq                      	6.18.2       	3.8.2                  	DEPRECATED Open source message broker software ...
stable/rabbitmq-ha                   	1.46.4       	3.8.5                  	Highly available RabbitMQ cluster, the open sou...
stable/redis                         	10.5.7       	5.0.7                  	DEPRECATED Open source, advanced key-value stor...
stable/redis-ha                      	4.4.4        	5.0.6                  	Highly available Kubernetes implementation of R...
stable/redmine                       	14.1.12      	4.1.0                  	DEPRECATED A flexible project management web ap...
stable/reloader                      	1.2.0        	v0.0.41                	Reloader chart that runs on kubernetes            
stable/rethinkdb                     	1.1.1        	0.1.0                  	The open-source database for the realtime web     
stable/risk-advisor                  	2.0.4        	1.0.0                  	Risk Advisor add-on module for Kubernetes         
stable/rocketchat                    	2.0.3        	3.2.2                  	Prepare to take off with the ultimate chat plat...
stable/rookout                       	0.1.0        	1.0                    	A Helm chart for Rookout agent on Kubernetes      
stable/sapho                         	0.2.2        	                       	A micro application development and integration...
stable/satisfy                       	1.0.0        	3.0.4                  	Composer repo hosting with Satisfy                
stable/schema-registry-ui            	0.4.2        	v0.9.5                 	This is a web tool for the confluentinc/schema-...
stable/sealed-secrets                	1.10.3       	0.12.4                 	A Helm chart for Sealed Secrets                   
stable/searchlight                   	0.3.3        	5.0.0                  	DEPRECATED Searchlight by AppsCode - Alerts for...
stable/selenium                      	1.1.2        	3.141.59               	Chart for selenium grid                           
stable/sematext-agent                	1.0.29       	1.0                    	Helm chart for deploying Sematext Agent and Log...
stable/sematext-docker-agent         	1.0.1        	1.31.53                	DEPRECATED Sematext Docker Agent                  
stable/sensu                         	0.2.3        	0.28                   	Sensu monitoring framework backed by the Redis ...
stable/sentry                        	4.3.0        	9.1.2                  	Sentry is a cross-platform crash reporting and ...
stable/seq                           	2.2.0        	2020                   	Seq is the easiest way for development teams to...
stable/signalfx-agent                	0.3.1        	3.6.1                  	DEPRECATED The SignalFx Kubernetes agent          
stable/signalsciences                	2.0.0        	4.5.0                  	SignalSciences is a web application firewall. T...
stable/socat-tunneller               	0.1.0        	1.0                    	A Helm chart for socat-tunneller                  
stable/sonarqube                     	4.0.1        	7.9.2                  	DEPRECATED SonarQube is an open sourced code qu...
stable/sonatype-nexus                	1.23.1       	3.20.1-01              	DEPRECATED - Sonatype Nexus is an open source r...
stable/spark                         	1.0.3        	1.5.1                  	Fast and general-purpose cluster computing system.
stable/spark-history-server          	1.2.1        	2.4.0                  	A Helm chart for Spark History Server             
stable/spartakus                     	1.1.6        	1.0.0                  	Collect information about Kubernetes clusters t...
stable/spinnaker                     	1.23.3       	1.16.2                 	Open source, multi-cloud continuous delivery pl...
stable/spotify-docker-gc             	1.0.0        	latest                 	A simple Docker container and image garbage col...
stable/spring-cloud-data-flow        	2.7.1        	2.5.1.RELEASE          	Toolkit for building data processing pipelines.   
stable/stackdriver-exporter          	1.2.3        	0.6.0                  	Stackdriver exporter for Prometheus               
stable/stash                         	0.5.3        	0.7.0-rc.1             	DEPRECATED Stash by AppsCode - Backup your Kube...
stable/stellar-core                  	1.0.0        	10.0.0                 	Backbone node of the Stellar cryptocurrency net...
stable/stolon                        	1.6.1        	0.16.0                 	Stolon - PostgreSQL cloud native High Availabil...
stable/sugarcrm                      	1.0.7        	6.5.26                 	DEPRECATED SugarCRM enables businesses to creat...
stable/suitecrm                      	8.0.11       	7.11.12                	DEPRECATED SuiteCRM is a completely open source...
stable/sumokube                      	1.0.0        	latest                 	Sumologic Log Collector                           
stable/sumologic-fluentd             	2.1.0        	2.4.2                  	Sumologic Log Collector                           
stable/superset                      	1.1.11       	0.36.0                 	Apache Superset (incubating) is a modern, enter...
stable/swift                         	0.6.3        	0.7.3                  	DEPRECATED swift by AppsCode - Ajax friendly He...
stable/sysdig                        	1.7.15       	10.0.0                 	Sysdig Monitor and Secure agent                   
stable/telegraf                      	1.6.1        	1.12                   	DEPRECATED Telegraf is an agent written in Go f...
stable/tensorflow-notebook           	0.1.3        	1.6.0                  	A Helm chart for tensorflow notebook and tensor...
stable/tensorflow-serving            	1.1.0        	1.14.0                 	TensorFlow Serving is an open-source software l...
stable/terracotta                    	1.1.0        	5.6.0                  	Terracotta Ehcache is an improved version of Ja...
stable/testlink                      	7.1.7        	1.9.20                 	DEPRECATED Web-based test management system tha...
stable/tomcat                        	0.4.1        	7.0                    	Deploy a basic tomcat application server with s...
stable/traefik                       	1.87.2       	1.7.24                 	A Traefik based Kubernetes ingress controller w...
stable/uchiwa                        	1.0.0        	0.22                   	Dashboard for the Sensu monitoring framework      
stable/unbound                       	1.1.2        	1.6.7                  	Unbound is a fast caching DNS resolver            
stable/unifi                         	0.10.0       	5.12.35                	Ubiquiti Network's Unifi Controller               
stable/vault-operator                	0.1.1        	0.1.9                  	CoreOS vault-operator Helm chart for Kubernetes   
stable/velero                        	2.7.4        	1.2.0                  	A Helm chart for velero                           
stable/verdaccio                     	0.7.6        	3.11.6                 	A lightweight private npm proxy registry (sinop...
stable/voyager                       	3.2.4        	6.0.0                  	DEPRECATED Voyager by AppsCode - Secure Ingress...
stable/vsphere-cpi                   	0.1.3        	1.1.0                  	A Helm chart for vSphere Cloud Provider Interfa...
stable/wavefront                     	1.1.2        	1.0.3                  	DEPRECATED Wavefront Kubernetes collector         
stable/weave-cloud                   	0.3.7        	1.4.0                  	Weave Cloud is a add-on to Kubernetes which pro...
stable/weave-scope                   	1.1.10       	1.12.0                 	A Helm chart for the Weave Scope cluster visual...
stable/wordpress                     	9.0.3        	5.3.2                  	DEPRECATED Web publishing platform for building...
stable/xray                          	0.4.2        	2.3.0                  	DEPRECATED Universal component scan for securit...
stable/zeppelin                      	1.1.0        	0.7.2                  	Web-based notebook that enables data-driven, in...
stable/zetcd                         	0.1.9        	0.0.3                  	CoreOS zetcd Helm chart for Kubernetes            
